"phrase","token_count","source","source_type","vertical","snippet","bucket_guess"
"24 day cycle ovulation","4","","noun_phrase","","","weak"
"24 hours after ovulation","4","","noun_phrase","","","weak"
"26 days ovulation","3","","noun_phrase","","","weak"
"28 day cycle ovulation","4","","noun_phrase","","","weak"
"28 days ovulation","3","","noun_phrase","","","weak"
"35 day cycle ovulation","4","","noun_phrase","","","weak"
"35 days ovulation","3","","noun_phrase","","","weak"
"35 days shift ovulation","4","","noun_phrase","","","weak"
"across your fertile window","4","","noun_phrase","","","weak"
"any tracked ovulation","3","","noun_phrase","","","weak"
"can due dates change during pregnancy?","6","","","","can due dates change during pregnancy?","weak"
"common discomforts in the third trimester","6","imported_urls","import_title","generic","","weak"
"date average cycle length","4","","noun_phrase","","","weak"
"date from due date","4","","noun_phrase","","","weak"
"date from lmp","3","","noun_phrase","","","weak"
"date from ovulation test","4","","noun_phrase","","","weak"
"date from ultrasound","3","","noun_phrase","","","weak"
"date from ultrasound all","4","","noun_phrase","","","weak"
"date from ultrasound crown","4","","noun_phrase","","","weak"
"date iui conception date","4","","noun_phrase","","","weak"
"date ivf conception date","4","","noun_phrase","","","weak"
"date precisely timed ovulation","4","","noun_phrase","","","weak"
"date remember that implantation","4","","noun_phrase","","","weak"
"date vs conception date","4","","noun_phrase","","","weak"
"date with irregular periods","4","","noun_phrase","","","weak"
"day cycle ovulation","3","","noun_phrase","","","weak"
"day of ovulation","3","","noun_phrase","","","weak"
"dealing with fatigue in the second trimester","7","imported_urls","import_title","generic","","weak"
"early pregnancy symptoms before missed period","6","imported_urls","import_title","health","","weak"
"emotional health during the postpartum period","6","imported_urls","import_title","health","","weak"
"fetal development in the second trimester","6","imported_urls","import_title","generic","","weak"
"getting pregnant after miscarriage what to know","7","imported_urls","import_title","generic","","weak"
"how accurate are due date calculators?","6","","","","how accurate are due date calculators?","weak"
"how long is a typical pregnancy?","6","","","","how long is a typical pregnancy?","weak"
"how to calculate conception date (1","6","","title","","","weak"
"how to create","3","imported_urls","import_title_subphrase","generic","","weak"
"how to create a birth plan that works for you","10","imported_urls","import_title","generic","","weak"
"how to create birth plan","5","imported_urls","import_title_subphrase","generic","","weak"
"how to increase breast milk supply naturally","7","imported_urls","import_title","generic","","weak"
"how to track","3","imported_urls","import_title_subphrase","health","","weak"
"how to track your ovulation","5","imported_urls","import_title_subphrase","health","","weak"
"how to track your ovulation cycle naturally","7","imported_urls","import_title","health","","weak"
"managing morning sickness during early pregnancy","6","imported_urls","import_title","health","","weak"
"most natural cycles ovulation","4","","noun_phrase","","","weak"
"most ovulation calculator","3","","noun_phrase","","","weak"
"nutrition guide for the first trimester","6","imported_urls","import_title","food_nutrition","","weak"
"planning for a second pregnancy safely","6","imported_urls","import_title","health","","weak"
"postpartum recovery what to expect after delivery","7","imported_urls","import_title","ecommerce","","weak"
"pumping and storing breast milk safely","6","imported_urls","import_title","generic","","weak"
"role of follicular phase in conception","6","imported_urls","import_title","health","","weak"
"should i worry if i go past my due date?","10","","","","should i worry if i go past my due date?","weak"
"still calculate ovulation","3","","noun_phrase","","","weak"
"third trimester checklist preparing for labor","6","imported_urls","import_title","generic","","weak"
"umbilical cord care for new parents","6","imported_urls","import_title","parenting","","weak"
"use your last period","4","","noun_phrase","","","weak"
"using a pregnancy due date calculator","6","","","","using a pregnancy due date calculator","weak"
"way to calculate ovulation","4","","noun_phrase","","","weak"
"what is a pregnancy due date?","6","","","","what is a pregnancy due date?","weak"
"what to expect in the first trimester","7","imported_urls","import_title","generic","","weak"
"who can use a due date calculator?","7","","","","who can use a due date calculator?","weak"
"why babies rarely arrive on the due date","8","","","","why babies rarely arrive on the due date","weak"
"why is ultrasound more accurate than lmp?","7","","","","why is ultrasound more accurate than lmp?","weak"
